id,answer
TEST_0000, 제주경제통상진흥원은 제주지역 중소기
TEST_0001, 제주경제통상진흥원은 중국 상해대표처
TEST_0002," 2015년 8월 설립되었으며, 20"
TEST_0003, 동경통상대표부는 일본 도쿄 신주쿠에
TEST_0004, 31억7200만원입니다. ​ 
TEST_0005, 서울 성북구 서경대 풋살경기장 Qu
TEST_0006, 코로나19 감염을 예방하기 위해서다
TEST_0007, 1710명​
TEST_0008, 약 25명​
TEST_0009, 비대면 면접을 채택한 대학도 있지만
TEST_0010, 중소기업의 경영혁신과 원활한 회생과
TEST_0011," 탄소중립 경영혁신, 융복합, 산업안"
TEST_0012, 최근 3개년 평균 매출액 120억원
TEST_0013, 500만원​
TEST_0014, 중소기업 혁신바우처 플랫폼에서 할 
TEST_0015, 동남아시아 최대 온라인 플랫폼인 S
TEST_0016, 동남아시아​ 
TEST_0017, 전략 컨설팅 비용 
TEST_0018, 북미시장(아마존) 및 중국시장(알리
TEST_0019, 1720억 달러로 전망된다.​​​​
TEST_0020, 14일부터 10월 11일까지 외식 
TEST_0021, 330억원 예산이 다 쓰일 때까지 
TEST_0022, 코로나 피로감이 높은 상태에서 듣고
TEST_0023," 외식, 공연, 이벤트, 상점가 등 "
TEST_0024, 10월 12일부터 11월 11일까지
TEST_0025, 50억원 이하의 중소기업(70.7%
TEST_0026, 61.3% 
TEST_0027, 95.5%​
TEST_0028," 자금지원, 온라인 수출마케팅, 수출"
TEST_0029, 지난해 촉발된 세계경제 위기로 절반
TEST_0030, 영암군에서 5월 가정의 달을 맞아 
TEST_0031, 3천원 
TEST_0032, 무화과 쌀빵 1박스​
TEST_0033," 750,00,00원​​​​​​​​​"
TEST_0034, '남도장터' 
TEST_0035, 2단​​​​​​​​​​​​​​​​​
TEST_0036, 스티브 잡스​​​​​​​​​​​​​
TEST_0037, 스탠퍼드 대학교​​​​​​​​​​​
TEST_0038, 호암 이병철​​​​​​​​​​​​​
TEST_0039, 아이폰​
TEST_0040, 9일 오전 2시​​​​​​​​​​​
TEST_0041, 8일 오후 9시​​​​​​​​​​​
TEST_0042, 섬진강은 4대강 사업과 직접 관련이
TEST_0043, 17.51m​​​​​​​​​​​​​
TEST_0044, 보 상류와 하류의 수위 차이가 없다
TEST_0045, 대구광역시​​​​​​​​​​​​​​
TEST_0046, 10cm 정도 자랐다.​​​​​​​
TEST_0047, 서울​​​​​​​​​​​​​​​​​
TEST_0048, 전모씨는 본가로 이동하기 위해 기차
TEST_0049, 서울 집에서 혼자 보내기로 결정했어
TEST_0050, 대한변호사협회 
TEST_0051, 전현정 전 부장판사​​​​​​​​​
TEST_0052, 김진욱(사법연수원 21기·대구) 헌
TEST_0053," 전종민(24기·서울), 권동주(26"
TEST_0054, 손기호 전 사무총장이야. 2014년
TEST_0055, 재생산지수(R)는 1명이 몇 명을 
TEST_0056, 1. 검진되지 않은 확진자 2. n
TEST_0057, 정은경 질병관리본부 중앙방역대책본부
TEST_0058, 841명. ​
TEST_0059, 2단계​
TEST_0060, ○○은행의 ○○적금이다.​
TEST_0061, 20만원​​​​​​​​​​​​​​​
TEST_0062, 2만원​​​​​​​​​​​​​​​​
TEST_0063, 연 0.3% 수준​​​​​​​​​​
TEST_0064, 500만원​​​​​​​​​​​​​​
TEST_0065, 감사원 사무총장 
TEST_0066, 문 대통령은 노무현 정부 초대와 3
TEST_0067," 민정수석은 검찰과 경찰, 국정원, "
TEST_0068, 1. 검찰개혁에 대한 이해도가 낮다
TEST_0069, 1. 2017년 5월~2018년 8
TEST_0070, 산업은행은 아시아나항공을 한진그룹에
TEST_0071, 50%를 넘으면 경쟁을 제한할 가능
TEST_0072, 30.77%​​​​​​​​​​​​​
TEST_0073, 259대​​​​​​​​​​​​​​​
TEST_0074, 15조원이 넘는 대형 항공사가 탄생
TEST_0075, 올해 들어 3월까지 토지 거래량은 
TEST_0076, 20.7% 증가했다. ​​​​​​​
TEST_0077," 1624필지, 116만600m2로 "
TEST_0078, 0.00%​​​​​​​​​​​​​​
TEST_0079, 제주지역 토지거래량이 증가하고 아파
TEST_0080, 2021년 7월 ​​​​​​​​​​
TEST_0081, 70억 
TEST_0082, 4631m2 
TEST_0083, 다목적 강당과 공유주방(모두의 부엌
TEST_0084, 1층 
TEST_0085, 2020년 8월 12일​​​​​​​
TEST_0086, 광주 217번 확진자로 분류되었다.
TEST_0087, 광주시는 지난 16일 연휴를 맞은 
TEST_0088, 25일까지 내렸음.​​​​​​​​​
TEST_0089, 광주시는 휴대전화 위성위치확인시스템
TEST_0090, 삼성전자가 세척부터 건조·살균까지 
TEST_0091, 360도 제트샷과 열풍건조 기능이다
TEST_0092," 빌트인 전용 제품으로, 도어 패널은"
TEST_0093, 144~184만원 
TEST_0094, 11일부터 10월 8일까지​​​​​
TEST_0095, 1. 4.15 총선 선거사범의 공소
TEST_0096, 4개​​​​​​​​​​​​​​​​​
TEST_0097, 1년​​​​​​​​​​​​​​​​​
TEST_0098, 배용원​​​​​​​​​​​​​​​​
TEST_0099, 4.15 총선 선거사범의 공소시효가
TEST_0100, 올해 경기도 아파트값 상승률은 8.
TEST_0101, 구리시다. 18.55%나 올랐다. 
TEST_0102, 18.55%​​​​​​​​​​​​​
TEST_0103, 6129만원​​​​​​​​​​​​​
TEST_0104, 5억4981만원​​​​​​​​​​​
TEST_0105, 교사​
TEST_0106, 12년 만이다.​​​​​​​​​​​
TEST_0107, 60~80대 
TEST_0108, 64.7%​
TEST_0109, 약 19만 800명​
TEST_0110, A씨는 쿠팡플렉스(일반인이 자기 차
TEST_0111, 삼성화재 부설 삼성교통안전문화연구소
TEST_0112, 올해 쿠팡플렉스 신규 가입자 수만 
TEST_0113, 550대​
TEST_0114, 40% 수준입니다.​​​​​​​​​
TEST_0115, 뱅앤올룹슨​​​​​​​​​​​​​​
